budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
20000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",,9387,"[{""id"": 1394, ""name"": ""gladiator""}, {""id"": 1522, ""name"": ""repayment""}, {""id"": 4798, ""name"": ""despot""}, {""id"": 14665, ""name"": ""barbarian""}, {""id"": 234213, ""name"": ""sword and sorcery""}]",en,Conan the Barbarian,"A film adaptation of the classic sword and sorcery hero, Conan the Barbarian. A horde of rampaging warriors massacre the parents of young Conan and enslave the young child for years on The Wheel of Pain. As the sole survivor of the childhood massacre, Conan is released from slavery and taught the ancient arts of fighting. Transforming himself into a killing machine, Conan travels into the wilderness to seek vengeance on Thulsa Doom, the man responsible for killing his family. In the wilderness, Conan takes up with the thieves Valeria and Subotai. The group comes upon King Osric, who wants the trio of warriors to help rescue his daughter who has joined Doom in the hills.",31.802807,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Dino De Laurentiis Company"", ""id"": 10308}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",4/2/1982,79114085,129,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Thief. Warrior. Gladiator. King.,Conan the Barbarian,6.6,650
0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",,16858,"[{""id"": 837, ""name"": ""show business""}, {""id"": 886, ""name"": ""film making""}, {""id"": 4345, ""name"": ""tap dancing""}, {""id"": 9732, ""name"": ""movie in movie""}, {""id"": 15160, ""name"": ""divorce""}, {""id"": 18298, ""name"": ""tv show in film""}, {""id"": 33731, ""name"": ""stand-up comedian""}, {""id"": 156028, ""name"": ""broadway""}, {""id"": 156507, ""name"": ""rainstorm""}, {""id"": 157959, ""name"": ""surgery""}, {""id"": 160840, ""name"": ""dream sequence""}, {""id"": 165399, ""name"": ""editing""}, {""id"": 165402, ""name"": ""semi autobiographical""}, {""id"": 165407, ""name"": ""restroom""}, {""id"": 165419, ""name"": ""screening room""}, {""id"": 165420, ""name"": ""amphetamine""}, {""id"": 165423, ""name"": ""prescription drug abuse""}]",en,All That Jazz,"Bob Fosse's semi-autobiographical film celebrates show business stripped of glitz or giddy illusions. Joe Gideon (Roy Scheider) is at the top of the heap, one of the most successful directors and choreographers in musical theatre. But he can feel his world slowly collapsing around him--his obsession with work has almost destroyed his personal life, and only his bottles of pills keep him going.",5.159407,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/20/1979,37823676,123,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,All that work. All that glitter. All that pain. All that love. All that crazy rhythm. All that jazz.,All That Jazz,7.3,85
8000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}]",,16281,"[{""id"": 1299, ""name"": ""monster""}, {""id"": 3335, ""name"": ""halloween""}, {""id"": 5404, ""name"": ""meteor""}, {""id"": 7172, ""name"": ""buried alive""}, {""id"": 7325, ""name"": ""cockroach""}, {""id"": 9706, ""name"": ""anthology""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 10292, ""name"": ""gore""}, {""id"": 11321, ""name"": ""animated sequence""}, {""id"": 12377, ""name"": ""zombie""}, {""id"": 157351, ""name"": ""living dead""}]",en,Creepshow,"Inspired by the E.C. comics of the 1950s, George A.Romero and Stephen King bring five tales of terror to the screen.",13.661289,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Creepshow Films Inc."", ""id"": 14179}, {""name"": ""Laurel Entertainment Inc."", ""id"": 14180}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/12/1982,21028755,120,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,The Most Fun You'll Ever Have... BEING SCARED!,Creepshow,6.7,226
70000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",,2756,"[{""id"": 270, ""name"": ""ocean""}, {""id"": 658, ""name"": ""sea""}, {""id"": 2772, ""name"": ""diving suit""}, {""id"": 3243, ""name"": ""flying saucer""}, {""id"": 3312, ""name"": ""nuclear missile""}, {""id"": 4862, ""name"": ""alien life-form""}, {""id"": 6255, ""name"": ""insanity""}, {""id"": 10503, ""name"": ""scuba diving""}, {""id"": 14785, ""name"": ""underwater""}, {""id"": 155334, ""name"": ""scuba""}, {""id"": 162351, ""name"": ""deepsea""}, {""id"": 185477, ""name"": ""trapped underwater\u00a0""}, {""id"": 233020, ""name"": ""thalassophobia""}]",en,The Abyss,"A civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks. One diver soon finds himself on a spectacular odyssey 25,000 feet below the ocean's surface where he confronts a mysterious force that has the power to change the world or destroy it.",24.961625,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}, {""name"": ""Pacific Western"", ""id"": 1280}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",8/9/1989,90000098,139,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"There's everything you've ever known about adventure, and then there's The Abyss.",The Abyss,7.1,808
4200000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",,1880,"[{""id"": 1008, ""name"": ""guerrilla""}, {""id"": 1981, ""name"": ""colorado""}, {""id"": 4278, ""name"": ""invasion""}, {""id"": 7059, ""name"": ""anti-communism""}, {""id"": 40847, ""name"": ""near future""}, {""id"": 193008, ""name"": ""red army""}]",en,Red Dawn,"It is the mid-1980s. From out of the sky, Soviet and Cuban troops begin landing on the football field of a Colorado high school. In seconds, the paratroops have attacked the school and sent a group of teenagers fleeing into the mountains. Armed only with hunting rifles, pistols and bows and arrows, the teens struggles to survive the bitter winter and Soviet KGB patrols hunting for them.",11.743085,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Valkyrie Films"", ""id"": 774}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",8/10/1984,38376497,114,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,,Red Dawn,6.4,215
63000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10752, ""name"": ""War""}]",,1370,"[{""id"": 271, ""name"": ""competition""}, {""id"": 1375, ""name"": ""submachine gun""}, {""id"": 2111, ""name"": ""soviet union""}, {""id"": 2434, ""name"": ""liberation""}, {""id"": 2808, ""name"": ""russian""}, {""id"": 3055, ""name"": ""soviet troops""}, {""id"": 3434, ""name"": ""thailand""}, {""id"": 3538, ""name"": ""freedom fighter""}, {""id"": 3541, ""name"": ""afghanistan""}, {""id"": 4269, ""name"": ""war on freedom""}, {""id"": 4276, ""name"": ""machinegun""}, {""id"": 5389, ""name"": ""mujahid""}, {""id"": 10328, ""name"": ""reality show""}, {""id"": 10511, ""name"": ""western""}, {""id"": 161048, ""name"": ""japanese food""}, {""id"": 168622, ""name"": ""soap opera""}]",en,Rambo III,"Combat has taken its toll on Rambo, but he's finally begun to find inner peace in a monastery. When Rambo's friend and mentor Col. Trautman asks for his help on a top secret mission to Afghanistan, Rambo declines but must reconsider when Trautman is captured.",31.294717,"[{""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Carolco Pictures"", ""id"": 14723}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/24/1988,189015611,102,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,The first was for himself. The second for his country. This time it's to save his friend.,Rambo III,5.7,690
55000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",,1924,"[{""id"": 83, ""name"": ""saving the world""}, {""id"": 736, ""name"": ""journalist""}, {""id"": 849, ""name"": ""dc comics""}, {""id"": 853, ""name"": ""crime fighter""}, {""id"": 3312, ""name"": ""nuclear missile""}, {""id"": 4270, ""name"": ""galaxy""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 15009, ""name"": ""criminal""}, {""id"": 15246, ""name"": ""sabotage""}, {""id"": 34154, ""name"": ""north pole""}, {""id"": 156230, ""name"": ""midwest""}, {""id"": 163420, ""name"": ""kryptonite""}, {""id"": 163455, ""name"": ""super powers""}, {""id"": 179102, ""name"": ""superhuman strength""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 193544, ""name"": ""save the day""}]",en,Superman,"Mild-mannered Clark Kent works as a reporter at the Daily Planet alongside his crush, Lois Lane − who's in love with Superman. Clark must summon his superhero alter ego when the nefarious Lex Luthor launches a plan to take over the world.",48.507081,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Dovemead Films"", ""id"": 51861}, {""name"": ""Film Export A.G."", ""id"": 51862}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/13/1978,300218018,143,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,You'll Believe a Man Can Fly!,Superman,6.9,1022
55000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",,9618,"[{""id"": 1563, ""name"": ""prisoner""}, {""id"": 1601, ""name"": ""war on drugs""}, {""id"": 12670, ""name"": ""los angeles""}]",en,Tango & Cash,"Ray Tango and Gabriel Cash are narcotics detectives who, while both being extremely successful, can't stand each other. Crime Lord Yves Perret, furious at the loss of income that Tango and Cash have caused him, frames the two for murder. Caught with the murder weapon on the scene of the crime, the two have no alibi. Thrown into prison with most of the criminals they helped convict, it appears that they are going to have to trust each other if they are to clear their names and catch the evil Perret.",22.787667,"[{""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/22/1989,63408614,104,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Two of L.A.'s top rival cops are going to have to work together... Even if it kills them.,Tango & Cash,6.1,458
2000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,802,"[{""id"": 459, ""name"": ""sexual obsession""}, {""id"": 612, ""name"": ""hotel""}, {""id"": 894, ""name"": ""depression""}, {""id"": 936, ""name"": ""loss of mother""}, {""id"": 1415, ""name"": ""small town""}, {""id"": 1486, ""name"": ""flirt""}, {""id"": 1599, ""name"": ""midlife crisis""}, {""id"": 1664, ""name"": ""eroticism""}, {""id"": 2086, ""name"": ""youngster""}, {""id"": 2087, ""name"": ""lolita""}, {""id"": 2669, ""name"": ""motel""}, {""id"": 2913, ""name"": ""diary""}, {""id"": 3182, ""name"": ""seduction""}, {""id"": 3691, ""name"": ""forbidden love""}, {""id"": 3746, ""name"": ""professor for literature""}, {""id"": 4125, ""name"": ""provocation""}, {""id"": 4126, ""name"": ""fascination""}, {""id"": 4127, ""name"": ""one-sided love""}, {""id"": 4129, ""name"": ""widow""}, {""id"": 4130, ""name"": ""adoptive father""}, {""id"": 4549, ""name"": ""loss of husband""}, {""id"": 5767, ""name"": ""summer camp""}, {""id"": 7879, ""name"": ""secret love""}]",en,Lolita,"Humbert Humbert is a middle-aged British novelist who is both appalled by and attracted to the vulgarity of American culture. When he comes to stay at the boarding house run by Charlotte Haze, he soon becomes obsessed with Lolita, the woman's teenaged daughter.",23.962109,"[{""name"": ""Seven Arts Productions"", ""id"": 516}, {""name"": ""Allied Artists"", ""id"": 517}, {""name"": ""Transworld Pictures"", ""id"": 518}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/13/1962,9250000,153,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,How did they ever make a movie of ...,Lolita,7.3,395
54000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",,8536,"[{""id"": 83, ""name"": ""saving the world""}, {""id"": 849, ""name"": ""dc comics""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 11254, ""name"": ""loss of virginity""}, {""id"": 15009, ""name"": ""criminal""}, {""id"": 163455, ""name"": ""super powers""}, {""id"": 175644, ""name"": ""phantom zone""}, {""id"": 175655, ""name"": ""rocket fired grenade""}, {""id"": 175656, ""name"": ""crystal machine""}, {""id"": 179102, ""name"": ""superhuman strength""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}]",en,Superman II,"Three escaped criminals from the planet Krypton test the Man of Steel's mettle. Led by Gen. Zod, the Kryptonians take control of the White House and partner with Lex Luthor to destroy Superman and rule the world. But Superman, who attempts to make himself human in order to get closer to Lois, realizes he has a responsibility to save the planet.",30.515175,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Dovemead Films"", ""id"": 51861}, {""name"": ""Film Export A.G."", ""id"": 51862}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/4/1980,190458706,127,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Man of Steel meets his match!,Superman II,6.5,629
